sentence,difficulty,encoded_diff,tokens,tokens_no_stop,token_count,nb_verbs,nb_nouns,nb_adj,tfidf_score
"Les coûts kilométriques réels peuvent diverger sensiblement des valeurs moyennes en fonction du moyen de transport utilisé, du taux d'occupation ou du taux de remplissage, de l'infrastructure utilisée, de la topographie des lignes, du flux de trafic, etc.",C1,4,"['Les', 'coûts', 'kilométriques', 'réels', 'peuvent', 'diverger', 'sensiblement', 'des', 'valeurs', 'moyennes', 'en', 'fonction', 'du', 'moyen', 'de', 'transport', 'utilisé', ',', 'du', 'taux', ""d'"", 'occupation', 'ou', 'du', 'taux', 'de', 'remplissage', ',', 'de', ""l'"", 'infrastructure', 'utilisée', ',', 'de', 'la', 'topographie', 'des', 'lignes', ',', 'du', 'flux', 'de', 'trafic', ',', 'etc.']","['coûts', 'kilométriques', 'réels', 'diverger', 'sensiblement', 'valeurs', 'moyennes', 'fonction', 'moyen', 'transport', 'utilisé', ',', 'taux', 'occupation', 'taux', 'remplissage', ',', 'infrastructure', 'utilisée', ',', 'topographie', 'lignes', ',', 'flux', 'trafic', ',', 'etc.']",27,4,14,2,5.1059545518977645
"Le bleu, c'est ma couleur préférée mais je n'aime pas le vert!",A1,0,"['Le', 'bleu', ',', ""c'"", 'est', 'ma', 'couleur', 'préférée', 'mais', 'je', ""n'"", 'aime', 'pas', 'le', 'vert', '!']","['bleu', ',', 'couleur', 'préférée', 'aime', 'vert', '!']",7,1,3,2,3.1331295895190387
Le test de niveau en français est sur le site Internet de l'école.,A1,0,"['Le', 'test', 'de', 'niveau', 'en', 'français', 'est', 'sur', 'le', 'site', 'Internet', 'de', ""l'"", 'école', '.']","['test', 'niveau', 'français', 'site', 'Internet', 'école', '.']",7,1,4,0,3.123805470968202
Est-ce que ton mari est aussi de Boston?,A1,0,"['Est', '-ce', 'que', 'ton', 'mari', 'est', 'aussi', 'de', 'Boston', '?']","['-ce', 'mari', 'Boston', '?']",4,0,2,1,2.6118468976687
"Dans les écoles de commerce, dans les couloirs de places financières, il arrive aujourd'hui de croiser de jeunes adultes de 20 ou 25 ans qui prévoient d'ouvrir une maison d'hôtes ""dans une quinzaine d'années"".",B1,2,"['Dans', 'les', 'écoles', 'de', 'commerce', ',', 'dans', 'les', 'couloirs', 'de', 'places', 'financières', ',', 'il', 'arrive', ""aujourd'hui"", 'de', 'croiser', 'de', 'jeunes', 'adultes', 'de', '20', 'ou', '25', 'ans', 'qui', 'prévoient', ""d'"", 'ouvrir', 'une', 'maison', ""d'"", 'hôtes', '""', 'dans', 'une', 'quinzaine', ""d'"", 'années', '""', '.']","['écoles', 'commerce', ',', 'couloirs', 'places', 'financières', ',', 'arrive', ""aujourd'hui"", 'croiser', 'jeunes', 'adultes', '20', '25', 'ans', 'prévoient', 'ouvrir', 'maison', 'hôtes', '""', 'quinzaine', 'années', '""', '.']",24,4,10,1,5.017777901863201
voilà une autre histoire que j'ai beaucoup aimée.,A2,1,"['voilà', 'une', 'autre', 'histoire', 'que', ""j'"", 'ai', 'beaucoup', 'aimée', '.']","['histoire', 'beaucoup', 'aimée', '.']",4,3,1,1,2.6748879160268944
Les médecins disent souvent qu'on doit boire un verre de vin rouge après les repas.,A2,1,"['Les', 'médecins', 'disent', 'souvent', ""qu'"", 'on', 'doit', 'boire', 'un', 'verre', 'de', 'vin', 'rouge', 'après', 'les', 'repas', '.']","['médecins', 'disent', 'boire', 'verre', 'vin', 'rouge', 'repas', '.']",8,3,5,1,3.676327896960036
"Il est particulièrement observé chez les personnes ayant un besoin de popularité développé, qui considèrent dès lors le moindre signal du smartphone comme un possible indicateur de leur degré de popularité.",B2,3,"['Il', 'est', 'particulièrement', 'observé', 'chez', 'les', 'personnes', 'ayant', 'un', 'besoin', 'de', 'popularité', 'développé', ',', 'qui', 'considèrent', 'dès', 'lors', 'le', 'moindre', 'signal', 'du', 'smartphone', 'comme', 'un', 'possible', 'indicateur', 'de', 'leur', 'degré', 'de', 'popularité', '.']","['particulièrement', 'observé', 'personnes', 'besoin', 'popularité', 'développé', ',', 'considèrent', 'moindre', 'signal', 'smartphone', 'indicateur', 'degré', 'popularité', '.']",15,4,8,2,4.70826842049869
J'ai retrouvé le plaisir de manger un oeuf à la coque,A2,1,"[""J'"", 'ai', 'retrouvé', 'le', 'plaisir', 'de', 'manger', 'un', 'oeuf', 'à', 'la', 'coque']","['retrouvé', 'plaisir', 'manger', 'oeuf', 'coque']",5,2,3,0,2.7896572169985396
"Nous allons bien, nous habitons dans une petite maison ancienne avec un très beau jardin",B1,2,"['Nous', 'allons', 'bien', ',', 'nous', 'habitons', 'dans', 'une', 'petite', 'maison', 'ancienne', 'avec', 'un', 'très', 'beau', 'jardin']","['bien', ',', 'habitons', 'petite', 'maison', 'ancienne', 'beau', 'jardin']",8,2,2,2,3.5160329145678633
Bonjour et bonne année.,A1,0,"['Bonjour', 'et', 'bonne', 'année', '.']","['Bonjour', 'bonne', 'année', '.']",4,0,2,0,1.8936277037553633
La presse s'est abondamment fait l'écho des effets secondaires ressentis par les soignants de moins de 65 ans.,B2,3,"['La', 'presse', ""s'"", 'est', 'abondamment', 'fait', ""l'"", 'écho', 'des', 'effets', 'secondaires', 'ressentis', 'par', 'les', 'soignants', 'de', 'moins', 'de', '65', 'ans', '.']","['presse', 'abondamment', 'écho', 'effets', 'secondaires', 'ressentis', 'soignants', '65', 'ans', '.']",10,1,6,2,3.762767428754734
"Pour que le rocher s'ouvre, il faut le toucher avec un brin d'herbe.",B1,2,"['Pour', 'que', 'le', 'rocher', ""s'"", 'ouvre', ',', 'il', 'faut', 'le', 'toucher', 'avec', 'un', 'brin', ""d'"", 'herbe', '.']","['rocher', 'ouvre', ',', 'faut', 'toucher', 'brin', 'herbe', '.']",8,3,2,0,3.1759400808298137
J'habite une belle ville dans le nord de la France.,A1,0,"[""J'"", 'habite', 'une', 'belle', 'ville', 'dans', 'le', 'nord', 'de', 'la', 'France', '.']","['habite', 'belle', 'ville', 'nord', 'France', '.']",6,1,2,0,2.8626815481535584
"Certes il doit répondre aux goûts du consommateur, mais aussi aux capacités de son porte-monnaie.",B2,3,"['Certes', 'il', 'doit', 'répondre', 'aux', 'goûts', 'du', 'consommateur', ',', 'mais', 'aussi', 'aux', 'capacités', 'de', 'son', 'porte-monnaie', '.']","['répondre', 'goûts', 'consommateur', ',', 'capacités', 'porte-monnaie', '.']",7,2,4,2,3.608775655120715
"Ma timidité me quittait dès que je m'éloignais d'Ellénore ; je reprenais alors mes plans habiles et mes profondes combinaisons : mais à peine me retrouvais-je auprès d'elle, que je me sentais de nouveau tremblant et troublé.",C2,5,"['Ma', 'timidité', 'me', 'quittait', 'dès', 'que', 'je', ""m'"", 'éloignais', ""d'"", 'Ellénore', ';', 'je', 'reprenais', 'alors', 'mes', 'plans', 'habiles', 'et', 'mes', 'profondes', 'combinaisons', ':', 'mais', 'à', 'peine', 'me', 'retrouvais', '-je', 'auprès', ""d'"", 'elle', ',', 'que', 'je', 'me', 'sentais', 'de', 'nouveau', 'tremblant', 'et', 'troublé', '.']","['timidité', 'quittait', 'éloignais', 'Ellénore', ';', 'reprenais', 'plans', 'habiles', 'profondes', 'combinaisons', ':', 'peine', 'retrouvais', '-je', 'auprès', ',', 'sentais', 'tremblant', 'troublé', '.']",20,6,5,2,4.911319137646631
Je pense que fréquenter les galeries est la meilleure manière d'éduquer son oeil à l'art contemporain.,B2,3,"['Je', 'pense', 'que', 'fréquenter', 'les', 'galeries', 'est', 'la', 'meilleure', 'manière', ""d'"", 'éduquer', 'son', 'oeil', 'à', ""l'"", 'art', 'contemporain', '.']","['fréquenter', 'galeries', 'meilleure', 'manière', 'éduquer', 'oeil', 'art', 'contemporain', '.']",9,3,4,0,3.548010518077086
"Le soir, je me cuche tôt parce que je dois être toujours en bonne forme.",A1,0,"['Le', 'soir', ',', 'je', 'me', 'cuche', 'tôt', 'parce', 'que', 'je', 'dois', 'être', 'toujours', 'en', 'bonne', 'forme', '.']","['soir', ',', 'cuche', 'tôt', 'dois', 'bonne', 'forme', '.']",8,2,2,2,3.545060994302922
"La mère de Raphaël et de Vanessa exprime sa satisfaction : depuis que ses enfants possèdent un portable, ""ça a libéré ma ligne"", déclare-t-elle.",B2,3,"['La', 'mère', 'de', 'Raphaël', 'et', 'de', 'Vanessa', 'exprime', 'sa', 'satisfaction', ':', 'depuis', 'que', 'ses', 'enfants', 'possèdent', 'un', 'portable', ',', '""', 'ça', 'a', 'libéré', 'ma', 'ligne', '""', ',', 'déclare', '-t', '-elle', '.']","['mère', 'Raphaël', 'Vanessa', 'exprime', 'satisfaction', ':', 'enfants', 'possèdent', 'portable', ',', '""', 'libéré', 'ligne', '""', ',', 'déclare', '-t', '-elle', '.']",19,4,5,0,4.375366787113288
Je ne fais pas grand-chose à la maison.,A2,1,"['Je', 'ne', 'fais', 'pas', 'grand-chose', 'à', 'la', 'maison', '.']","['grand-chose', 'maison', '.']",3,1,2,2,2.6894024431434334
Elle ajoute qu'une interdiction totale est impossible à gérer.,B2,3,"['Elle', 'ajoute', ""qu'"", 'une', 'interdiction', 'totale', 'est', 'impossible', 'à', 'gérer', '.']","['ajoute', 'interdiction', 'totale', 'impossible', 'gérer', '.']",6,2,1,0,2.7725583165402625
"Sans plus d'hésitation, il tourna vers la gauche ; son pas sonnait sur la terre durcie, et ce bruit cadencé, monotone, assoupissait en le berçant, le tumulte de son esprit.",C2,5,"['Sans', 'plus', ""d'"", 'hésitation', ',', 'il', 'tourna', 'vers', 'la', 'gauche', ';', 'son', 'pas', 'sonnait', 'sur', 'la', 'terre', 'durcie', ',', 'et', 'ce', 'bruit', 'cadencé', ',', 'monotone', ',', 'assoupissait', 'en', 'le', 'berçant', ',', 'le', 'tumulte', 'de', 'son', 'esprit', '.']","['hésitation', ',', 'tourna', 'gauche', ';', 'sonnait', 'terre', 'durcie', ',', 'bruit', 'cadencé', ',', 'monotone', ',', 'assoupissait', 'berçant', ',', 'tumulte', 'esprit', '.']",20,5,7,2,4.703516780376438
"Comme le signale l'expression ""lingua franca"", le français a été pendant très longtemps la langue internationale, eu égard à notre rayonnement politique aussi bien que culturel",C2,5,"['Comme', 'le', 'signale', ""l'"", 'expression', '""', 'lingua', 'franca', '""', ',', 'le', 'français', 'a', 'été', 'pendant', 'très', 'longtemps', 'la', 'langue', 'internationale', ',', 'eu', 'égard', 'à', 'notre', 'rayonnement', 'politique', 'aussi', 'bien', 'que', 'culturel']","['signale', 'expression', '""', 'lingua', 'franca', '""', ',', 'français', 'été', 'langue', 'internationale', ',', 'égard', 'rayonnement', 'politique', 'bien', 'culturel']",17,2,6,4,4.588678140381635
Je ne t'ai pas téléphoné parce que j'ai eu trop de travail.,B1,2,"['Je', 'ne', ""t'"", 'ai', 'pas', 'téléphoné', 'parce', 'que', ""j'"", 'ai', 'eu', 'trop', 'de', 'travail', '.']","['téléphoné', 'trop', 'travail', '.']",4,2,1,3,3.0479266877158584
C'est peut-être ça que vous cherchez ?,A2,1,"[""C'"", 'est', 'peut-être', 'ça', 'que', 'vous', 'cherchez', '?']","['peut-être', 'cherchez', '?']",3,1,0,1,2.4650991247806378
"Qu'est-ce qui peut bien poser problème dans ces petits livrets pourtant plutôt attractifs pour que seuls 23, 4 % de leurs détenteurs arrivent au bout ?",C2,5,"[""Qu'"", 'est', '-ce', 'qui', 'peut', 'bien', 'poser', 'problème', 'dans', 'ces', 'petits', 'livrets', 'pourtant', 'plutôt', 'attractifs', 'pour', 'que', 'seuls', '23', ',', '4', '%', 'de', 'leurs', 'détenteurs', 'arrivent', 'au', 'bout', '?']","['-ce', 'bien', 'poser', 'problème', 'petits', 'livrets', 'pourtant', 'attractifs', '23', ',', '4', '%', 'détenteurs', 'arrivent', 'bout', '?']",16,3,5,3,4.657862562882056
Je consulte d'habitude ma messagerie. Et puis je prends un café.,A1,0,"['Je', 'consulte', ""d'"", 'habitude', 'ma', 'messagerie', '.', 'Et', 'puis', 'je', 'prends', 'un', 'café', '.']","['consulte', 'habitude', 'messagerie', '.', 'prends', 'café', '.']",7,2,3,0,2.972720827821913
Nous sommes en train de dîner.,A2,1,"['Nous', 'sommes', 'en', 'train', 'de', 'dîner', '.']","['sommes', 'train', 'dîner', '.']",4,0,2,0,2.2440354287952977
"En fait, je trouve que l'éducation est une bonne chose.",B1,2,"['En', 'fait', ',', 'je', 'trouve', 'que', ""l'"", 'éducation', 'est', 'une', 'bonne', 'chose', '.']","[',', 'trouve', 'éducation', 'bonne', 'chose', '.']",6,1,3,0,2.967106597532894
As-tu besoin de quelque chose?,A1,0,"['As', '-', 'tu', 'besoin', 'de', 'quelque', 'chose', '?']","['-', 'besoin', 'chose', '?']",4,0,4,0,2.3346059747074057
