sentence,difficulty,encoded_diff,sentence_sp,tokens,tokens_no_stop,token_count_no_stop,token_count,nb_verbs,nb_nouns,nb_adj,nb_adv,words,tfidf_score_unigram,tfidf_score_bigram
"Les coûts kilométriques réels peuvent diverger sensiblement des valeurs moyennes en fonction du moyen de transport utilisé, du taux d'occupation ou du taux de remplissage, de l'infrastructure utilisée, de la topographie des lignes, du flux de trafic, etc.",C1,4,"Les coûts kilométriques réels peuvent diverger sensiblement des valeurs moyennes en fonction du moyen de transport utilisé, du taux d'occupation ou du taux de remplissage, de l'infrastructure utilisée, de la topographie des lignes, du flux de trafic, etc.","['Les', 'coûts', 'kilométriques', 'réels', 'peuvent', 'diverger', 'sensiblement', 'des', 'valeurs', 'moyennes', 'en', 'fonction', 'du', 'moyen', 'de', 'transport', 'utilisé', ',', 'du', 'taux', ""d'"", 'occupation', 'ou', 'du', 'taux', 'de', 'remplissage', ',', 'de', ""l'"", 'infrastructure', 'utilisée', ',', 'de', 'la', 'topographie', 'des', 'lignes', ',', 'du', 'flux', 'de', 'trafic', ',', 'etc.']","['coûts', 'kilométriques', 'réels', 'diverger', 'sensiblement', 'valeurs', 'moyennes', 'fonction', 'moyen', 'transport', 'utilisé', ',', 'taux', 'occupation', 'taux', 'remplissage', ',', 'infrastructure', 'utilisée', ',', 'topographie', 'lignes', ',', 'flux', 'trafic', ',', 'etc.']",27,45,4,14,3,2,"['les', 'coûts', 'kilométriques', 'réels', 'peuvent', 'diverger', 'sensiblement', 'des', 'valeurs', 'moyennes', 'en', 'fonction', 'du', 'moyen', 'de', 'transport', 'utilisé,', 'du', 'taux', ""d'occupation"", 'ou', 'du', 'taux', 'de', 'remplissage,', 'de', ""l'infrastructure"", 'utilisée,', 'de', 'la', 'topographie', 'des', 'lignes,', 'du', 'flux', 'de', 'trafic,', 'etc.']",27.043962451941336,18.477813252151577
"Le bleu, c'est ma couleur préférée mais je n'aime pas le vert!",A1,0,"Le bleu, c'est ma couleur préférée mais je n'aime pas le vert!","['Le', 'bleu', ',', ""c'"", 'est', 'ma', 'couleur', 'préférée', 'mais', 'je', ""n'"", 'aime', 'pas', 'le', 'vert', '!']","['bleu', ',', 'couleur', 'préférée', 'aime', 'vert', '!']",7,16,1,3,1,2,"['le', 'bleu,', ""c'est"", 'ma', 'couleur', 'préférée', 'mais', 'je', ""n'aime"", 'pas', 'le', 'vert!']",6.2950610118806045,4.28306985953364
Le test de niveau en français est sur le site Internet de l'école.,A1,0,Le test de niveau en français est sur le site Internet de l'école.,"['Le', 'test', 'de', 'niveau', 'en', 'français', 'est', 'sur', 'le', 'site', 'Internet', 'de', ""l'"", 'école', '.']","['test', 'niveau', 'français', 'site', 'Internet', 'école', '.']",7,15,1,4,1,0,"['le', 'test', 'de', 'niveau', 'en', 'français', 'est', 'sur', 'le', 'site', 'internet', 'de', ""l'école.""]",35.37991911317483,23.504444345090334
Est-ce que ton mari est aussi de Boston?,A1,0,Est-ce que ton mari est aussi de Boston?,"['Est', '-ce', 'que', 'ton', 'mari', 'est', 'aussi', 'de', 'Boston', '?']","['-ce', 'mari', 'Boston', '?']",4,10,0,2,0,1,"['est-ce', 'que', 'ton', 'mari', 'est', 'aussi', 'de', 'boston?']",6.326895846161525,4.30943275758594
"Dans les écoles de commerce, dans les couloirs de places financières, il arrive aujourd'hui de croiser de jeunes adultes de 20 ou 25 ans qui prévoient d'ouvrir une maison d'hôtes ""dans une quinzaine d'années"".",B1,2,"Dans les écoles de commerce, dans les couloirs de places financières, il arrive aujourd'hui de croiser de jeunes adultes de 20 ou 25 ans qui prévoient d'ouvrir une maison d'hôtes ""dans une quinzaine d'années"".","['Dans', 'les', 'écoles', 'de', 'commerce', ',', 'dans', 'les', 'couloirs', 'de', 'places', 'financières', ',', 'il', 'arrive', ""aujourd'hui"", 'de', 'croiser', 'de', 'jeunes', 'adultes', 'de', '20', 'ou', '25', 'ans', 'qui', 'prévoient', ""d'"", 'ouvrir', 'une', 'maison', ""d'"", 'hôtes', '""', 'dans', 'une', 'quinzaine', ""d'"", 'années', '""', '.']","['écoles', 'commerce', ',', 'couloirs', 'places', 'financières', ',', 'arrive', ""aujourd'hui"", 'croiser', 'jeunes', 'adultes', '20', '25', 'ans', 'prévoient', 'ouvrir', 'maison', 'hôtes', '""', 'quinzaine', 'années', '""', '.']",24,42,4,10,2,1,"['dans', 'les', 'écoles', 'de', 'commerce,', 'dans', 'les', 'couloirs', 'de', 'places', 'financières,', 'il', 'arrive', ""aujourd'hui"", 'de', 'croiser', 'de', 'jeunes', 'adultes', 'de', '20', 'ou', '25', 'ans', 'qui', 'prévoient', ""d'ouvrir"", 'une', 'maison', ""d'hôtes"", '""dans', 'une', 'quinzaine', 'd\'années"".']",88.67193418110865,60.13765318030114
voilà une autre histoire que j'ai beaucoup aimée.,A2,1,voilà une autre histoire que j'ai beaucoup aimée.,"['voilà', 'une', 'autre', 'histoire', 'que', ""j'"", 'ai', 'beaucoup', 'aimée', '.']","['histoire', 'beaucoup', 'aimée', '.']",4,10,3,1,1,1,"['voilà', 'une', 'autre', 'histoire', 'que', ""j'ai"", 'beaucoup', 'aimée.']",48.70069063618988,33.22232564519187
Les médecins disent souvent qu'on doit boire un verre de vin rouge après les repas.,A2,1,Les médecins disent souvent qu'on doit boire un verre de vin rouge après les repas.,"['Les', 'médecins', 'disent', 'souvent', ""qu'"", 'on', 'doit', 'boire', 'un', 'verre', 'de', 'vin', 'rouge', 'après', 'les', 'repas', '.']","['médecins', 'disent', 'boire', 'verre', 'vin', 'rouge', 'repas', '.']",8,17,3,5,0,1,"['les', 'médecins', 'disent', 'souvent', ""qu'on"", 'doit', 'boire', 'un', 'verre', 'de', 'vin', 'rouge', 'après', 'les', 'repas.']",23.305905541234,15.941032698928645
"Il est particulièrement observé chez les personnes ayant un besoin de popularité développé, qui considèrent dès lors le moindre signal du smartphone comme un possible indicateur de leur degré de popularité.",B2,3,"Il est particulièrement observé chez les personnes ayant un besoin de popularité développé, qui considèrent dès lors le moindre signal du smartphone comme un possible indicateur de leur degré de popularité.","['Il', 'est', 'particulièrement', 'observé', 'chez', 'les', 'personnes', 'ayant', 'un', 'besoin', 'de', 'popularité', 'développé', ',', 'qui', 'considèrent', 'dès', 'lors', 'le', 'moindre', 'signal', 'du', 'smartphone', 'comme', 'un', 'possible', 'indicateur', 'de', 'leur', 'degré', 'de', 'popularité', '.']","['particulièrement', 'observé', 'personnes', 'besoin', 'popularité', 'développé', ',', 'considèrent', 'moindre', 'signal', 'smartphone', 'indicateur', 'degré', 'popularité', '.']",15,33,4,8,2,2,"['il', 'est', 'particulièrement', 'observé', 'chez', 'les', 'personnes', 'ayant', 'un', 'besoin', 'de', 'popularité', 'développé,', 'qui', 'considèrent', 'dès', 'lors', 'le', 'moindre', 'signal', 'du', 'smartphone', 'comme', 'un', 'possible', 'indicateur', 'de', 'leur', 'degré', 'de', 'popularité.']",30.72316192707225,21.225513589689317
J'ai retrouvé le plaisir de manger un oeuf à la coque,A2,1,J'ai retrouvé le plaisir de manger un oeuf à la coque,"[""J'"", 'ai', 'retrouvé', 'le', 'plaisir', 'de', 'manger', 'un', 'oeuf', 'à', 'la', 'coque']","['retrouvé', 'plaisir', 'manger', 'oeuf', 'coque']",5,12,2,3,0,0,"[""j'ai"", 'retrouvé', 'le', 'plaisir', 'de', 'manger', 'un', 'oeuf', 'à', 'la', 'coque']",24.49225702547957,17.153972754979232
"Nous allons bien, nous habitons dans une petite maison ancienne avec un très beau jardin",B1,2,"Nous allons bien, nous habitons dans une petite maison ancienne avec un très beau jardin","['Nous', 'allons', 'bien', ',', 'nous', 'habitons', 'dans', 'une', 'petite', 'maison', 'ancienne', 'avec', 'un', 'très', 'beau', 'jardin']","['bien', ',', 'habitons', 'petite', 'maison', 'ancienne', 'beau', 'jardin']",8,16,2,2,3,2,"['nous', 'allons', 'bien,', 'nous', 'habitons', 'dans', 'une', 'petite', 'maison', 'ancienne', 'avec', 'un', 'très', 'beau', 'jardin']",57.0742233895466,39.5389438525381
